sink_id	source	feature	mean_count
sink_pureA	envA	f0	97.26800000
sink_pureA	envA	f1	97.59500000
sink_pureA	Unknown	f0	2.73200000
sink_pureA	Unknown	f1	2.40500000
sink_AB	envA	f0	45.11700000
sink_AB	envA	f1	45.65200000
sink_AB	envA	f3	0.00100000
sink_AB	envB	f2	45.76700000
sink_AB	envB	f3	45.20000000
sink_AB	Unknown	f0	4.88300000
sink_AB	Unknown	f1	4.34800000
sink_AB	Unknown	f2	4.23300000
sink_AB	Unknown	f3	4.79900000
sink_ABC	envA	f0	24.25700000
sink_ABC	envA	f1	25.03900000
sink_ABC	envB	f2	24.96600000
sink_ABC	envB	f3	24.30300000
sink_ABC	envC	f1	0.00100000
sink_ABC	envC	f4	24.19100000
sink_ABC	envC	f5	24.84500000
sink_ABC	Unknown	f0	8.74300000
sink_ABC	Unknown	f1	7.96000000
sink_ABC	Unknown	f2	8.03400000
sink_ABC	Unknown	f3	8.69700000
sink_ABC	Unknown	f4	8.80900000
sink_ABC	Unknown	f5	8.15500000
